,H,Sxy
0,0.0,-54977.819627371784
1,0.009009009009009009,-56951.67438738653
2,0.018018018018018018,-61290.95345508783
3,0.02702702702702703,-65576.30380189394
4,0.036036036036036036,-69841.46177952786
5,0.04504504504504504,-74086.51504657799
6,0.05405405405405406,-78311.55094689477
7,0.06306306306306306,-82516.65650963598
8,0.07207207207207207,-86951.72804025176
9,0.08108108108108109,-91617.0920027577
10,0.09009009009009009,-100067.13910344998
11,0.0990990990990991,-108959.24384777618
12,0.10810810810810811,-117606.89281450666
13,0.11711711711711711,-126036.2706944746
14,0.12612612612612611,-134400.51229378447
15,0.13513513513513514,-142700.03106576085
16,0.14414414414414414,-150935.23921143598
17,0.15315315315315314,-159744.0828339399
18,0.16216216216216217,-168942.95998228705
19,0.17117117117117117,-179422.29724344576
20,0.18018018018018017,-189885.52936487074
21,0.1891891891891892,-199357.11946020788
22,0.1981981981981982,-208259.66198661958
23,0.2072072072072072,-217064.5485507026
24,0.21621621621621623,-225772.76667838858
25,0.22522522522522523,-234385.29519126305
26,0.23423423423423423,-243329.26590557714
27,0.24324324324324323,-252954.9679052848
28,0.25225225225225223,-263435.44923289
29,0.26126126126126126,-274514.7366225076
30,0.2702702702702703,-284684.423080413
31,0.27927927927927926,-293435.1263558909
32,0.2882882882882883,-301361.7463827917
33,0.2972972972972973,-309167.3119004463
34,0.3063063063063063,-316853.63916102704
35,0.3153153153153153,-324422.515853232
36,0.32432432432432434,-333069.48758341756
37,0.3333333333333333,-346582.3739935501
38,0.34234234234234234,-359701.62285916496
39,0.35135135135135137,-370177.69638507074
40,0.36036036036036034,-378606.82712756516
41,0.36936936936936937,-386495.15033666545
42,0.3783783783783784,-394231.1476670949
43,0.38738738738738737,-401817.6895775752
44,0.3963963963963964,-409257.58845364326
45,0.40540540540540543,-418098.47715070733
46,0.4144144144144144,-430850.8318309016
47,0.42342342342342343,-444867.3505149323
48,0.43243243243243246,-450131.2604517315
49,0.44144144144144143,-454520.3153532098
50,0.45045045045045046,-458783.90699753317
51,0.45945945945945943,-462977.0544477724
52,0.46846846846846846,-467100.8658775598
53,0.4774774774774775,-471156.4302832297
54,0.48648648648648646,-475144.817848129
55,0.4954954954954955,-489465.07641000336
56,0.5045045045045045,-499013.69904298475
57,0.5135135135135135,-501922.02211899805
58,0.5225225225225225,-505111.5662246302
59,0.5315315315315315,-508343.03190330125
60,0.5405405405405406,-511488.96885009075
61,0.5495495495495496,-514551.3393310635
62,0.5585585585585585,-517532.055976416
63,0.5675675675675675,-521083.9167518149
64,0.5765765765765766,-539421.5190504392
65,0.5855855855855856,-555918.5787203795
66,0.5945945945945946,-558459.2717496351
67,0.6036036036036035,-558702.793061147
68,0.6126126126126126,-558613.0528458132
69,0.6216216216216216,-558487.6511594818
70,0.6306306306306306,-558327.8304935762
71,0.6396396396396397,-560821.6022349003
72,0.6486486486486487,-565594.7141140859
73,0.6576576576576576,-575049.6334296566
74,0.6666666666666666,-588569.98090777
75,0.6756756756756757,-596521.644614364
76,0.6846846846846847,-595688.7541506347
77,0.6936936936936937,-594761.6104220876
78,0.7027027027027027,-593810.2625787486
79,0.7117117117117117,-592835.8326606998
80,0.7207207207207207,-597630.6215447659
81,0.7297297297297297,-603234.6967858993
82,0.7387387387387387,-611387.1255789858
83,0.7477477477477478,-622227.1409896144
84,0.7567567567567568,-626800.304467035
85,0.7657657657657657,-626730.0090257805
86,0.7747747747747747,-628316.5376062391
87,0.7837837837837838,-629815.4119799257
88,0.7927927927927928,-631229.4593666283
89,0.8018018018018018,-637880.8595893764
90,0.8108108108108109,-645989.0920104793
91,0.8198198198198198,-654068.6025744029
92,0.8288288288288288,-666755.844885641
93,0.8378378378378378,-675993.3285707838
94,0.8468468468468469,-678081.1015921648
95,0.8558558558558559,-675887.6324565363
96,0.8648648648648649,-673696.533368577
97,0.8738738738738738,-671508.209352311
98,0.8828828828828829,-673714.0569398954
99,0.8918918918918919,-681022.5274143664
100,0.9009009009009009,-688355.2736779237
101,0.9099099099099099,-696668.5264928183
102,0.9189189189189189,-704492.4231167381
103,0.9279279279279279,-709166.2307621597
104,0.9369369369369369,-707278.4798058508
105,0.9459459459459459,-704627.1578986642
106,0.954954954954955,-701986.3794263081
107,0.963963963963964,-699356.3696633152
108,0.9729729729729729,-703953.7143130685
109,0.9819819819819819,-709148.4019912427
110,0.990990990990991,-716224.8425222655
111,1.0,-724095.7896414252
112,1.009009009009009,-729100.0707415164
113,1.018018018018018,-728114.4868650293
114,1.027027027027027,-725655.0012255206
115,1.0360360360360361,-723200.850643902
116,1.045045045045045,-720752.3869323855
117,1.054054054054054,-722947.1653886476
118,1.063063063063063,-728221.6782010393
119,1.072072072072072,-733478.4144859615
120,1.0810810810810811,-747344.8536724695
121,1.09009009009009,-755805.5812220697
122,1.0990990990990992,-755744.0604689779
123,1.1081081081081081,-748444.4784241213
124,1.117117117117117,-741274.764341026
125,1.1261261261261262,-734231.6339627953
126,1.135135135135135,-729433.2904300713
127,1.1441441441441442,-730257.2325846538
128,1.1531531531531531,-731071.0600147415
129,1.162162162162162,-736467.8524777384
130,1.1711711711711712,-746821.5607067422
131,1.1801801801801801,-751270.2861865289
132,1.1891891891891893,-751120.3443618756
133,1.1981981981981982,-746420.8957033172
134,1.207207207207207,-743252.7826658164
135,1.2162162162162162,-741564.2706758076
136,1.2252252252252251,-746630.7461957717
137,1.2342342342342343,-751682.9001933747
138,1.2432432432432432,-745254.4888956286
139,1.2522522522522523,-747553.2092212333
140,1.2612612612612613,-750247.2442538246
