,H,Sxx
0,0.0,39042850.871979706
1,0.009009009009009009,39042850.871979706
2,0.018018018018018018,39042850.871979706
3,0.02702702702702703,39042850.871979706
4,0.036036036036036036,39033803.78393308
5,0.04504504504504504,39015857.94675863
6,0.05405405405405406,38935729.842688754
7,0.06306306306306306,38842368.42257061
8,0.07207207207207207,37660075.26551392
9,0.08108108108108109,35649819.82652853
10,0.09009009009009009,32974663.38883058
11,0.0990990990990991,30672592.434641656
12,0.10810810810810811,28670711.151993968
13,0.11711711711711711,26924163.46498643
14,0.12612612612612611,25407137.531173036
15,0.13513513513513514,24051102.65821802
16,0.14414414414414414,22833623.904862143
17,0.15315315315315314,21686352.17488095
18,0.16216216216216217,20484284.27796212
19,0.17117117117117117,19276027.064889904
20,0.18018018018018017,18163474.488967624
21,0.1891891891891892,17171546.573040765
22,0.1981981981981982,16282618.215890855
23,0.2072072072072072,15482045.387078198
24,0.21621621621621623,14755949.404849296
25,0.22522522522522523,14095447.785723032
26,0.23423423423423423,13492416.18110363
27,0.24324324324324323,12887621.459936235
28,0.25225225225225223,12334215.741250345
29,0.26126126126126126,11767541.942065706
30,0.2702702702702703,11236418.383000452
31,0.27927927927927926,10751162.08274756
32,0.2882882882882883,10306517.919004949
33,0.2972972972972973,9896813.122955047
34,0.3063063063063063,9518254.723984228
35,0.3153153153153153,9167662.693057887
36,0.32432432432432434,8850554.566084323
37,0.3333333333333333,8609659.048857393
38,0.34234234234234234,8372923.220609285
39,0.35135135135135137,8120122.687157972
40,0.36036036036036034,7881941.320567801
41,0.36936936936936937,7657056.137858731
42,0.3783783783783784,7444324.962885975
43,0.38738738738738737,7242813.8529321635
44,0.3963963963963964,7051597.851021133
45,0.40540540540540543,6869918.142661595
46,0.4144144144144144,6636144.474941628
47,0.42342342342342343,6402180.559868337
48,0.43243243243243246,6174753.251452763
49,0.44144144144144143,5962688.843579574
50,0.45045045045045046,5764217.297277377
51,0.45945945945945943,5578375.9785233345
52,0.46846846846846846,5404010.272834277
53,0.4774774774774775,5239433.733050678
54,0.48648648648648646,5084398.1996377725
55,0.4954954954954955,4938621.924502425
56,0.5045045045045045,4800873.5376238255
57,0.5135135135135135,4685930.2866114415
58,0.5225225225225225,4587545.943841074
59,0.5315315315315315,4492856.2144506555
60,0.5405405405405406,4401853.614890561
61,0.5495495495495496,4314177.331588344
62,0.5585585585585585,4228626.909890679
63,0.5675675675675675,4146170.6184010226
64,0.5765765765765766,4066656.7899820535
65,0.5855855855855856,3982488.239381696
66,0.5945945945945946,3901074.4024756937
67,0.6036036036036035,3802718.699350136
68,0.6126126126126126,3703818.4164217208
69,0.6216216216216216,3609822.79725265
70,0.6306306306306306,3520385.273146811
71,0.6396396396396397,3435292.01828171
72,0.6486486486486487,3354144.705009604
73,0.6576576576576576,3276679.683553923
74,0.6666666666666666,3201480.104778987
75,0.6756756756756757,3128905.1580636716
76,0.6846846846846847,3059041.454114785
77,0.6936936936936937,2989866.089236069
78,0.7027027027027027,2923274.865592396
79,0.7117117117117117,2859456.6846974473
80,0.7207207207207207,2797988.6926361457
81,0.7297297297297297,2739022.3843049314
82,0.7387387387387387,2682413.047987065
83,0.7477477477477478,2627885.7810651166
84,0.7567567567567568,2573504.816876678
85,0.7657657657657657,2521276.4748728764
86,0.7747747747747747,2469893.4091821415
87,0.7837837837837838,2419272.056573863
88,0.7927927927927928,2370827.7310499786
89,0.8018018018018018,2323985.2745623766
90,0.8108108108108109,2278927.0503290715
91,0.8198198198198198,2235554.6692925254
92,0.8288288288288288,2193776.7287490326
93,0.8378378378378378,2155012.7190038892
94,0.8468468468468469,2118063.7625583787
95,0.8558558558558559,2082542.1969883293
96,0.8648648648648649,2049279.4490313234
97,0.8738738738738738,2017003.927447979
98,0.8828828828828829,1985233.6842901558
99,0.8918918918918919,1954417.4976039394
100,0.9009009009009009,1924514.3635855915
101,0.9099099099099099,1895485.517424698
102,0.9189189189189189,1867294.2882648772
103,0.9279279279279279,1839905.964777067
104,0.9369369369369369,1813287.6705063297
105,0.9459459459459459,1787408.2482209182
106,0.954954954954955,1762324.9530513587
107,0.963963963963964,1737963.6166742304
108,0.9729729729729729,1714215.1126649308
109,0.9819819819819819,1690426.8214886477
110,0.990990990990991,1664771.7070844935
111,1.0,1639545.033124401
112,1.009009009009009,1613871.9331877385
113,1.018018018018018,1588560.6007713848
114,1.027027027027027,1564020.221571397
115,1.0360360360360361,1540152.2511633562
116,1.045045045045045,1516529.6087714094
117,1.054054054054054,1493573.5393743562
118,1.063063063063063,1471145.6279079642
119,1.072072072072072,1449430.1518801344
120,1.0810810810810811,1428347.3156796526
121,1.09009009009009,1407853.3192796584
122,1.0990990990990992,1387282.5737900923
123,1.1081081081081081,1367263.2335203462
124,1.117117117117117,1347751.3116534145
125,1.1261261261261262,1328720.7666559918
126,1.135135135135135,1310201.9485434853
127,1.1441441441441442,1292164.5594673115
128,1.1531531531531531,1274547.1890246975
129,1.162162162162162,1257217.5841085254
130,1.1711711711711712,1240344.4491546454
131,1.1801801801801801,1223653.48891787
132,1.1891891891891893,1207253.7595194278
133,1.1981981981981982,1191198.4194929411
134,1.207207207207207,1175501.6020238434
135,1.2162162162162162,1160206.1300448438
136,1.2252252252252251,1145048.5049069708
137,1.2342342342342343,1130045.6241146317
138,1.2432432432432432,1117261.0507952578
139,1.2522522522522523,1105504.0519841136
140,1.2612612612612613,1093894.931248631
141,1.2702702702702702,1082442.2042918145
142,1.2792792792792793,1071169.3369396417
143,1.2882882882882882,1060095.885350347
