T(K)	uh(m^2/Vs)	duh(m^2/Vs)	nh(m^-3)	dnh(m^-3)	ue(m^2/Vs)	due(m^2/Vs)	ne(m^-3)	dne(m^-3)	sxx0(1/Om)	dsxx0(1/Om)	resxx	resxy
2.00	2.78236e+00	5.05984e-03	1.53267e+25	5.17852e+22	3.61360e+00	7.41021e-03	1.18067e+25	5.09378e+22	1.44399e+07	0.00000e+00	0.01125	0.00481
15.00	2.59553e+00	8.29748e-03	1.49679e+25	5.14187e+22	4.41796e+00	1.39186e-02	1.14320e+25	4.68663e+22	1.39379e+07	0.00000e+00	0.03544	0.02062
25.00	2.46328e+00	8.21319e-03	1.52663e+25	5.36464e+22	4.21073e+00	1.37646e-02	1.16767e+25	4.86166e+22	1.31520e+07	0.00000e+00	0.03700	0.02188
30.00	2.44781e+00	4.17185e-03	1.56832e+25	4.05720e+22	3.30185e+00	6.22933e-03	1.20337e+25	3.94125e+22	1.19317e+07	0.00000e+00	0.01111	0.00627
50.00	1.96487e+00	5.45376e-03	1.66971e+25	5.89234e+22	2.71425e+00	7.95164e-03	1.31986e+25	5.62192e+22	1.09853e+07	0.00000e+00	0.01976	0.00918
70.00	1.52485e+00	5.08765e-03	1.83395e+25	7.80901e+22	2.10583e+00	7.03013e-03	1.51794e+25	7.44330e+22	1.02797e+07	0.00000e+00	0.02240	0.01082
100.00	1.05959e+00	4.36208e-03	2.00915e+25	9.14816e+22	1.46601e+00	5.55890e-03	1.77646e+25	8.51410e+22	7.91548e+06	0.00000e+00	0.02369	0.01568
120.00	8.21548e-01	4.38170e-03	2.12906e+25	1.11389e+23	1.20414e+00	5.37737e-03	1.96527e+25	9.93126e+22	6.65182e+06	0.00000e+00	0.03203	0.02421
150.00	5.88291e-01	3.14848e-03	2.36110e+25	1.18136e+23	8.08981e-01	3.45237e-03	2.31074e+25	1.03966e+23	5.36050e+06	0.00000e+00	0.02313	0.02076
180.00	4.39962e-01	2.58486e-03	2.58581e+25	1.31794e+23	6.02240e-01	2.56364e-03	2.68507e+25	1.10321e+23	4.52717e+06	0.00000e+00	0.02129	0.02249
200.00	3.65713e-01	2.50204e-03	2.69564e+25	1.53578e+23	5.09815e-01	2.31176e-03	2.90843e+25	1.21338e+23	4.02593e+06	0.00000e+00	0.02440	0.02498
230.00	2.84619e-01	2.06128e-03	2.94216e+25	1.71167e+23	3.85840e-01	1.70431e-03	3.32588e+25	1.26079e+23	3.48050e+06	0.00000e+00	0.02164	0.02169
260.00	1.96957e-01	1.56896e-03	2.76217e+25	1.73827e+23	2.54513e-01	1.14381e-03	3.17059e+25	1.10677e+23	2.21230e+06	0.00000e+00	0.01454	0.01152
300.00	1.36701e-01	1.22037e-03	2.96706e+25	2.23189e+23	1.80240e-01	7.47895e-04	3.38972e+25	1.02961e+23	1.68018e+06	0.00000e+00	0.01141	0.00696
